Entrez_IDs,Gene_Symbol,d0,d7,d12,d19,d26,d33,d49,d63,d77,Cluster,Radius,Angle,Autism,Holoprosencephaly,Microcephaly,Lissencephaly,Alzheimers,Tauopathy
1,A1BG,-1.0834397602,-1.3321047382,-1.098563302,0.5001698545,-0.1914508956,1.6118803301,0.2735828756,0.5766472587,0.7432783772,4,2.2376483478,1.2381952583,no,no,no,no,no,no
10000,AKT3,-1.8818808417,-1.4048885886,-0.222200411,0.2544443857,0.5301746019,0.8861232316,0.9520808134,0.4946104529,0.3915363558,4,2.5182610815,1.6556297979,no,no,yes,no,no,no
100009676,LOC100009676,-0.582756908,0.2623289198,-1.8439340789,-0.0860185557,-0.6028589113,0.1750723789,0.0986076654,0.8137495003,1.7658099895,6,2.1597759452,0.8775540156,no,no,no,no,no,no
10003,NAALAD2,-0.898831355,2.2992835681,0.9389012942,-0.2184415558,-0.325711178,-0.6002003626,-0.5483678567,-0.3279277721,-0.3187047821,3,2.0645758117,3.4087553442,no,no,no,no,no,no
100033413,SNORD116-1,2.578178731,-0.5135549555,0.1116282945,-0.3829372292,0.096729914,-0.4427937065,-0.3514236227,-0.5680825258,-0.5277448999,1,2.7068763775,5.2144158551,no,no,no,no,no,no
100033414,SNORD116-2,2.5945939443,-0.1785093418,0.0897870548,-0.4135964805,-0.0788098652,-0.4258199207,-0.4478439608,-0.6684437314,-0.4713576988,1,2.78311894,5.1575774097,no,no,no,no,no,no
100033420,SNORD116-8,2.4616393696,-0.3350014914,-0.7438442901,-0.2788405934,-0.303261781,-0.5449781013,-0.5491877904,0.6280945084,-0.3346198306,1,2.6907645162,5.5669725329,no,no,no,no,no,no
100033424,SNORD116-12,1.9891214156,-0.3783775575,-0.6351256697,-0.3663951038,1.2088939139,0.0959128054,0.013455724,-1.0944932545,-0.8329922735,1,2.0127696844,5.0652632195,no,no,no,no,no,no
100033425,SNORD116-13,2.6035616134,-0.3225807128,0.117750597,-0.3592772821,-0.2037484054,-0.604163862,-0.2583706364,-0.604163862,-0.3690074497,1,2.7660457128,5.222556694,no,no,no,no,no,no
100033426,SNORD116-14,2.6142080673,-0.2987233622,-0.175042143,-0.6668204552,-0.2811672512,-0.4326696846,-0.3451170397,0.0476684665,-0.4623365979,1,2.7768004224,5.3704315232,no,no,no,no,no,no
100033431,SNORD116-20,2.6490660862,-0.2506858796,-0.0973618957,-0.4227886694,-0.2615776038,-0.4689669874,-0.3319981698,-0.415832712,-0.3998541685,1,2.8073459731,5.2729465701,no,no,no,no,no,no
100033434,SNORD116-23,2.5952779431,-0.054488911,-0.0190770461,-0.4360172764,-0.0602132818,-0.5174450543,-0.5298733202,-0.6314650217,-0.3466980317,1,2.7910676583,5.1778263079,no,no,no,no,no,no
100033435,SNORD116-24,2.6223830962,-0.469093568,-0.0435623136,-0.1276050313,-0.5523565102,-0.3234463807,-0.5383861863,-0.3935759379,-0.1743571683,1,2.7801618535,5.3357899266,no,no,no,no,no,no
100037417,DDTL,2.6077450546,0.1118077305,-0.443839921,-0.5587858356,-0.1014765102,-0.4659616061,-0.421883266,-0.3012684443,-0.426337202,1,2.7795362298,5.2705795857,no,no,no,no,no,no
